Date,Year,Month,cashInReport,Card2,Card,DD,UE,GH,CN,DD2,UE2,GH2,CN2,DD Fees,UE Fees,GH Fees,Catering,otherCash,Foodja,Foodja2,Foodja Fees,Zelle,Ez Cater,Ez Cater2,EzCater Fees,Relish,Relish2,Relish Fees,waiter.com,CC Fees,createdAt,updatedAt,createdBy
14-Jan-24,2024,Jan,115.52,2937.95,3030.89,278.62,198.81,35.91,,1913.94,,,,-1635.32,198.81,35.91,,,,,0,,,,0,,,0,,92.94,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
15-Jan-24,2024,Jan,156.46,1412.99,1476.27,205.56,210.07,28.47,,,,,,205.56,210.07,28.47,,,,,0,,,,0,,,0,,63.28,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
16-Jan-24,2024,Jan,19.37,1307.22,1349.87,178.34,243.93,42.12,,,,,,178.34,243.93,42.12,,,,,0,,,,0,,,0,,42.65,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
17-Jan-24,2024,Jan,21.04,2105.11,2245,65.12,183.98,,,,,,,65.12,183.98,0,25,,320.73,,102.6336,,,,0,,,0,,139.89,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
18-Jan-24,2024,Jan,156.85,1559.61,1610.89,300.91,163.12,111.46,,,,,,300.91,163.12,111.46,515,,46,,14.72,,,,0,,,0,,51.28,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
19-Jan-24,2024,Jan,364.65,2778.34,2868.23,747.4,116.72,224.12,,,,,,747.4,116.72,224.12,,155,345.68,,110.6176,,,,0,,,0,,89.89,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
20-Jan-24,2024,Jan,113.26,2487.28,2569.62,360.32,488.65,78.84,,,,,,360.32,488.65,78.84,305,433,,,0,,,,0,,,0,,82.34,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
21-Jan-24,2024,Jan,165.71,1590.58,1644.54,322.86,369.72,143.65,,1732.6,,,,-1409.74,369.72,143.65,,402,,,0,,,,0,,,0,,53.96,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
22-Jan-24,2024,Jan,152.66,1018.74,1049.18,156.03,142.4,37.15,,,,,,156.03,142.4,37.15,190,126,,,0,,,,0,,,0,,30.44,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
23-Jan-24,2024,Jan,16.15,1442.68,1488.61,107.74,91.63,,,,,,,107.74,91.63,0,,4,710.36,,227.3152,,,,0,,,0,,45.93,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
